time="2024-12-06T09:34:30+05:00" level=info msg="Configuration loaded"
time="2024-12-06T09:34:30+05:00" level=info msg="Connected to MongoDB"
time="2024-12-06T09:34:30+05:00" level=info msg="Initializing Kafka producer with address:localhost:9092"
time="2024-12-06T09:34:30+05:00" level=info msg="Kafka client initialized successfully"
time="2024-12-06T09:38:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:16+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:21+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:26+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:31+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:36+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:41+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:43+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:43+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:46+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:48+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:48+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:51+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:53+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:53+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:56+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:58+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:38:58+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:01+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:06+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:11+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:16+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:21+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:26+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:31+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:36+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:39:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
